#,Year,OrientationJ mode,Field / application,Reference,Usage extract,DOI,Title,Journal,Authors
267,2025,orientation/coherency analysis,"vascular tissue, bacterial colonization",Pinon et al. (2025),"For each ROI, the mean fluorescence intensity has been subtracted from the background intensity (collagen matrix) and normalized by the mean of the non-infected areas' intensity",10.7554/elife.107813,An in vitro human vessel model to study Neisseria meningitidis colonization and vascular damages,eLife,"Pinon L, Chabaud M, Nivoit P, Wong Ng J, Nguyen TT, Paul V, Bouquerel C, Goussard S, Smilovici P, Frachon E, Obino D, Gobaa S, Dumenil G."
268,2025,Measure,"white matter microstructure, neuronal tissue",Wang et al. (2025),"Coherency of myelinated axons, as an inverse measure of complexity of white matter microstructure, was assessed using the ""OrientationJ measure"" function of ImageJ plugin OrientationJ",10.1038/s41390-024-03412-z,Neuroserpin normalization by mesenchymal stem cell therapy after encephalopathy of prematurity in neonatal rats,Pediatric Research,"Wang LW, Hsiung CW, Chang CP, Lin MT, Chen SJ."
269,2026,Distribution (directionality histogram),actin cytoskeleton,Jiang et al. (2026),"For in-depth orientation analysis and quantification of the distribution of phalloidin-stained filaments alignment between both cell types under each experimental condition, we used the software plugin tool OrientationJ (ImageJ/Fiji).",10.1186/s40659-026-00686-x,"Knockout of filamin A in KGN granulosa tumor cells impairs proliferation, cell cycle progression, migration, and cytoskeletal organization under mechanical stress",Biological Research,"Jiang Y, Caban KM, Peitzsch M, Herrmann C, Mayr D, Stöckl JB, Fröhlich T, Mayerhofer A, Müller-Taubenberger A, Welter H."
270,2026,structure-tensor order parameter,actin cytoskeleton,Chen et al. (2026),"the alignment parameter (S), calculated by OrientationJ software, derived from the gradient structure tensor, was used to assess filaments alignment",10.1038/s41419-026-08678-1,Stiff matrix-induced KRTAP2-3 expression suppresses ciliogenesis via actin tension-driven chromatin remodeling,Cell Death & Disease,"Chen X, Yi L, Xie G, Jin H, Yang F, Cao W, Shi Z, Xu Z, Li S, Huo C, Li Y, Lin A, Liu W, Ou G, Zhou T, Ji B, Xie S."
271,2026,Coherency map,actin cytoskeleton,Sarmiento-Jiménez et al. (2026),F-actin bundle alignment was quantified using the OrientationJ plugin in Fiji 2.3,10.3390/ijms27073026,Role of the Glycine Transporter GlyT2 in the Neuronal Differentiation of PC12 Cells,International Journal of Molecular Sciences,"Sarmiento-Jiménez J, Morales-González B, Núñez E, Martínez-Blanco E, Zafra F, Díez-Guerra FJ, López-Corcuera B."
272,2026,Distribution (directionality histogram),actin cytoskeleton,Mondal et al. (2026),"For each ROI, the filament orientation information was extracted using ""OrientationJ (OJ) Distribution ( Rezakhaniha et al, 2012 )"" plugin in Fiji.",10.26508/lsa.202603664,F-actin organization excludes E-cadherin from the division furrow to ensure cytokinesis fidelity,Life Science Alliance,"Mondal D, Rai M, Padmanabhan A."
273,2026,Color-coded orientation map,actin cytoskeleton,Li et al. (2026),The orientation of the F-actin cytoskeleton was analyzed using the OrientationJ plugin 2.0.7 (Fiji/ImageJ 1.54p).,10.3390/ijms27104380,Biglycan Reconstitutes a Neonatal ECM Signaling Microenvironment to Drive Stem Cell-Mediated Tendon Regeneration via a Scaffold-Free Cell Sheet Platform,International Journal of Molecular Sciences,"Li WT, Yu JK, Cui GQ."
274,2026,Distribution (directionality histogram) & Color-coded orientation map,actin cytoskeleton in cancer-associated fibroblasts,Garside et al. (2026),Angle distributions were calculated using the OrientationJ Distribution function with a local Gaussian window of σ = 2 pixels.,10.1002/advs.202522440,Single-Cell Morphomechanics of Prostate Cancer-Associated Fibroblasts Identifies Distinct Features Associated with Patient Outcome,Advanced Science,"Garside A, Jacobi A, Keerthikumar S, Mahajan V, Richards M, Niranjan B, Teng L, Choo N, Wei JLJ, Risbridger GP, Lawrence MG, Taubenberger AV."
275,2026,Coherency map,actin cytoskeleton in tumors,Kaivola et al. (2026),Changes in the orientation (coherency) were assessed using the OrientationJ package in ImageJ software from MIPs of the confocal microscopy images (actin and β-catenin staining),10.1038/s41563-025-02473-7,Restoring the tumour mechanophenotype of vocal fold cancer reverts its malignant properties,Nature Materials,"Kaivola J, Punovuori K, Chastney MR, Abdo H, Follain G, Mathieu M, Joshi O, Miroshnikova YA, Krautgasser F, Di Franco J, Conway JRW, Held S, Bertillot F, Hagström J, Mäkitie A, Irjala H, Ventelä S, Hamidi H, Scita G, Cerbino R, Wickström SA, Ivaska J."
276,2026,Coherency map + Dominant Direction,"actin cytoskeleton, endothelial mechanotransduction",Franz et al. (2026),Apparent coherency analysis of HUVECs exposed to different shear stress profiles was performed using the ImageJ 'OrientationJ' plugin and the 'Dominant Direction' tool based on phase contrast time‐lapse images.,10.1002/advs.202516423,VE-Cadherin-Actin Regulation Promotes Mechanotransduction and Monolayer Maturation Involving a Tension-Sensitive Intermediate State,Advanced Science,"Franz J, Odenthal-Schnittler M, Kipcke JP, Seebach J, Labbaf Z, Merten F, Bojovic V, Taha M, Eble JA, Raz E, Galic M, Schnittler H."
